Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/29/20 19:30,3554.0,125.0,88.0
Zhejiang,Mainland China,1/29/20 19:30,296.0,,3.0
Guangdong,Mainland China,1/29/20 19:30,277.0,,5.0
Hunan,Mainland China,1/29/20 19:30,221.0,,
Henan,Mainland China,1/29/20 19:30,206.0,2.0,1.0
Anhui,Mainland China,1/29/20 19:30,152.0,,2.0
Chongqing,Mainland China,1/29/20 19:30,147.0,,1.0
Shandong,Mainland China,1/29/20 19:30,130.0,,1.0
Beijing,Mainland China,1/29/20 19:30,111.0,1.0,4.0
Jiangxi,Mainland China,1/29/20 19:30,109.0,,3.0
Sichuan,Mainland China,1/29/20 19:30,108.0,1.0,1.0
Jiangsu,Mainland China,1/29/20 19:30,99.0,,1.0
Shanghai,Mainland China,1/29/20 19:30,96.0,1.0,5.0
Fujian,Mainland China,1/29/20 19:30,84.0,,
Guangxi,Mainland China,1/29/20 19:30,58.0,,2.0
Shaanxi,Mainland China,1/29/20 19:30,56.0,,
Yunnan,Mainland China,1/29/20 19:30,55.0,,
Hebei,Mainland China,1/29/20 19:30,48.0,1.0,
Hainan,Mainland China,1/29/20 19:30,43.0,1.0,
Liaoning,Mainland China,1/29/20 19:30,39.0,,1.0
Heilongjiang,Mainland China,1/29/20 19:30,38.0,1.0,
Tianjin,Mainland China,1/29/20 19:30,27.0,,
Shanxi,Mainland China,1/29/20 19:30,27.0,,1.0
Gansu,Mainland China,1/29/20 19:30,24.0,,
Inner Mongolia,Mainland China,1/29/20 19:30,16.0,,
Xinjiang,Mainland China,1/29/20 19:30,13.0,,
Ningxia,Mainland China,1/29/20 19:30,12.0,,
Hong Kong,Hong Kong,1/29/20 19:30,10.0,,
Guizhou,Mainland China,1/29/20 19:30,9.0,,1.0
Jilin,Mainland China,1/29/20 19:30,9.0,,
Taiwan,Taiwan,1/29/20 19:30,8.0,,
Macau,Macau,1/29/20 19:30,7.0,,
Qinghai,Mainland China,1/29/20 19:30,6.0,,
Washington,US,1/29/20 19:30,1.0,,
Illinois,US,1/29/20 19:30,1.0,,
California,US,1/29/20 19:30,2.0,,
Arizona,US,1/29/20 19:30,1.0,,
,Japan,1/29/20 19:30,7.0,,1.0
,Thailand,1/29/20 19:30,14.0,0.0,6.0
,South Korea,1/29/20 19:30,4.0,,
,Singapore,1/29/20 19:30,7.0,,
,Vietnam,1/29/20 19:30,2.0,,
,France,1/29/20 19:30,5.0,,
,Nepal,1/29/20 19:30,1.0,,
,Malaysia,1/29/20 19:30,7.0,,
Ontario,Canada,1/29/20 19:30,1.0,,
British Columbia,Canada,1/29/20 19:30,1.0,,
,Cambodia,1/29/20 19:30,1.0,,
,Sri Lanka,1/29/20 19:30,1.0,,
New South Wales,Australia,1/29/20 19:30,4.0,,
Victoria,Australia,1/29/20 19:30,1.0,,
Bavaria,Germany,1/29/20 19:30,4.0,,
,Finland,1/29/20 19:30,1.0,,
,United Arab Emirates,1/29/20 19:30,4.0,,
Unknown,China,1/29/20 19:30,,,
